trial,fp_count
0,117
1,102
2,118
3,134
4,125
5,125
6,124
7,117
8,132
9,112
10,106
11,111
12,106
13,123
14,132
15,134
16,125
17,111
18,102
19,131
20,103
21,121
22,123
23,118
24,110
25,109
26,117
27,123
28,128
29,114
30,120
31,112
32,138
33,103
34,125
35,129
36,116
37,121
38,142
39,117
40,124
41,111
42,138
43,117
44,124
45,118
46,119
47,126
48,150
49,118
50,138
51,145
52,118
53,123
54,117
55,123
56,111
57,109
58,113
59,126
60,132
61,132
62,132
63,132
64,134
65,102
66,109
67,101
68,123
69,113
70,133
71,104
72,117
73,106
74,105
75,114
76,135
77,120
78,121
79,115
80,106
81,122
82,104
83,125
84,108
85,111
86,135
87,130
88,133
89,116
90,108
91,112
92,114
93,113
94,133
95,128
96,110
97,114
98,129
99,118
100,122
101,130
102,139
103,137
104,139
105,130
106,110
107,121
108,117
109,133
110,103
111,112
112,126
113,120
114,132
115,116
116,111
117,116
118,122
119,126
120,98
121,123
122,115
123,117
124,120
125,132
126,105
127,126
128,107
129,118
130,114
131,124
132,112
133,119
134,119
135,111
136,118
137,112
138,119
139,109
140,119
141,125
142,109
143,112
144,136
145,121
146,132
147,121
148,131
149,135
150,121
151,122
152,120
153,132
154,118
155,125
156,116
157,123
158,121
159,133
160,122
161,139
162,119
163,120
164,121
165,117
166,121
167,118
168,98
169,119
170,121
171,105
172,107
173,105
174,112
175,124
176,117
177,128
178,129
179,119
180,113
181,107
182,124
183,102
184,116
185,112
186,132
187,111
188,130
189,109
190,121
191,110
192,120
193,98
194,131
195,111
196,99
197,137
198,116
199,124
200,107
201,110
202,153
203,138
204,109
205,117
206,111
207,115
208,140
209,121
210,131
211,128
212,140
213,102
214,104
215,128
216,139
217,127
218,118
219,114
220,107
221,132
222,118
223,102
224,146
225,129
226,125
227,117
228,122
229,132
230,143
231,134
232,135
233,127
234,136
235,120
236,133
237,147
238,113
239,122
240,125
241,107
242,129
243,134
244,133
245,129
246,108
247,129
248,123
249,125
250,121
251,142
252,127
253,142
254,134
255,118
256,117
257,128
258,122
259,123
260,113
261,113
262,117
263,122
264,114
265,136
266,121
267,106
268,110
269,107
270,123
271,107
272,113
273,113
274,112
275,127
276,114
277,113
278,129
279,127
280,122
281,118
282,122
283,113
284,121
285,112
286,126
287,127
288,108
289,111
290,107
291,127
292,120
293,106
294,105
295,97
296,124
297,119
298,133
299,143
300,118
301,116
302,120
303,105
304,129
305,150
306,134
307,128
308,117
309,120
310,112
311,129
312,125
313,138
314,116
315,145
316,128
317,122
318,122
319,122
320,113
321,129
322,118
323,115
324,126
325,113
326,124
327,125
328,120
329,107
330,113
331,112
332,120
333,114
334,122
335,105
336,126
337,115
338,132
339,119
340,115
341,120
342,116
343,126
344,104
345,117
346,117
347,119
348,147
349,128
350,104
351,120
352,122
353,115
354,111
355,134
356,123
357,122
358,125
359,107
360,128
361,117
362,112
363,105
364,116
365,124
366,131
367,115
368,121
369,102
370,128
371,101
372,126
373,126
374,111
375,139
376,116
377,112
378,150
379,128
380,120
381,126
382,120
383,114
384,121
385,129
386,103
387,125
388,98
389,121
390,126
391,126
392,108
393,99
394,119
395,147
396,143
397,99
398,165
399,107
400,104
401,116
402,110
403,139
404,102
405,119
406,121
407,106
408,124
409,118
410,128
411,140
412,136
413,138
414,111
415,110
416,123
417,116
418,131
419,132
420,117
421,116
422,124
423,117
424,117
425,114
426,132
427,123
428,112
429,113
430,122
431,145
432,119
433,130
434,140
435,107
436,105
437,105
438,143
439,114
440,127
441,112
442,118
443,114
444,119
445,116
446,98
447,130
448,122
449,129
450,127
451,127
452,103
453,120
454,101
455,109
456,121
457,125
458,102
459,115
460,113
461,119
462,131
463,132
464,124
465,112
466,133
467,117
468,110
469,135
470,126
471,132
472,114
473,115
474,103
475,114
476,122
477,105
478,122
479,125
480,116
481,115
482,146
483,121
484,118
485,125
486,113
487,121
488,111
489,104
490,121
491,114
492,109
493,125
494,112
495,128
496,107
497,141
498,117
499,148
500,122
501,124
502,107
503,125
504,121
505,103
506,131
507,134
508,95
509,120
510,123
511,143
512,121
513,117
514,105
515,106
516,122
517,116
518,118
519,117
520,120
521,117
522,125
523,128
524,119
525,118
526,140
527,107
528,117
529,137
530,139
531,115
532,120
533,131
534,116
535,108
536,123
537,126
538,117
539,121
540,106
541,136
542,118
543,121
544,119
545,120
546,136
547,135
548,128
549,125
550,126
551,122
552,122
553,114
554,118
555,130
556,119
557,97
558,137
559,124
560,96
561,127
562,105
563,126
564,119
565,153
566,120
567,99
568,113
569,116
570,124
571,139
572,116
573,138
574,116
575,117
576,110
577,103
578,125
579,130
580,110
581,125
582,119
583,128
584,129
585,136
586,108
587,111
588,121
589,109
590,114
591,106
592,129
593,115
594,123
595,136
596,120
597,119
598,138
599,127
600,114
601,114
602,123
603,110
604,123
605,125
606,116
607,116
608,127
609,107
610,112
611,119
612,97
613,107
614,113
615,120
616,118
617,127
618,122
619,114
620,117
621,112
622,127
623,120
624,126
625,123
626,117
627,107
628,131
629,122
630,142
631,119
632,121
633,107
634,128
635,121
636,98
637,111
638,113
639,129
640,105
641,136
642,112
643,98
644,121
645,139
646,107
647,121
648,120
649,127
650,119
651,120
652,113
653,122
654,120
655,115
656,118
657,99
658,115
659,120
660,125
661,108
662,127
663,113
664,121
665,108
666,110
667,127
668,124
669,121
670,131
671,123
672,120
673,115
674,112
675,114
676,106
677,130
678,129
679,124
680,123
681,132
682,115
683,106
684,109
685,104
686,115
687,118
688,113
689,106
690,115
691,129
692,126
693,118
694,112
695,138
696,120
697,102
698,106
699,124
700,121
701,102
702,104
703,131
704,99
705,125
706,122
707,135
708,149
709,127
710,131
711,120
712,123
713,112
714,119
715,129
716,109
717,115
718,130
719,115
720,113
721,102
722,136
723,106
724,116
725,130
726,128
727,125
728,125
729,111
730,129
731,117
732,114
733,123
734,118
735,107
736,112
737,112
738,103
739,126
740,105
741,124
742,117
743,127
744,110
745,124
746,120
747,108
748,108
749,126
750,126
751,144
752,143
753,103
754,127
755,116
756,129
757,116
758,115
759,125
760,110
761,110
762,127
763,129
764,116
765,114
766,120
767,113
768,112
769,121
770,119
771,96
772,101
773,123
774,129
775,122
776,129
777,123
778,121
779,127
780,125
781,123
782,128
783,110
784,128
785,103
786,109
787,104
788,121
789,114
790,130
791,114
792,106
793,110
794,121
795,106
796,116
797,122
798,126
799,126
800,130
801,101
802,124
803,110
804,123
805,107
806,124
807,121
808,127
809,121
810,113
811,117
812,124
813,118
814,120
815,114
816,118
817,135
818,114
819,115
820,116
821,115
822,119
823,131
824,123
825,108
826,104
827,109
828,116
829,101
830,134
831,129
832,114
833,126
834,131
835,144
836,129
837,111
838,126
839,115
840,116
841,137
842,152
843,124
844,112
845,127
846,137
847,110
848,110
849,153
850,114
851,135
852,130
853,114
854,112
855,125
856,111
857,117
858,118
859,128
860,117
861,126
862,101
863,125
864,101
865,127
866,113
867,129
868,125
869,125
870,120
871,131
872,122
873,134
874,105
875,115
876,109
877,131
878,128
879,129
880,115
881,123
882,107
883,110
884,110
885,114
886,150
887,119
888,116
889,118
890,100
891,128
892,119
893,124
894,110
895,136
896,101
897,121
898,116
899,102
900,115
901,138
902,110
903,111
904,117
905,127
906,128
907,113
908,122
909,107
910,120
911,128
912,131
913,115
914,133
915,112
916,110
917,129
918,139
919,104
920,96
921,116
922,115
923,107
924,133
925,121
926,123
927,123
928,125
929,108
930,115
931,119
932,129
933,107
934,123
935,131
936,118
937,109
938,123
939,113
940,100
941,127
942,115
943,101
944,127
945,129
946,118
947,118
948,135
949,121
950,119
951,110
952,127
953,102
954,145
955,133
956,123
957,133
958,123
959,112
960,117
961,114
962,107
963,125
964,114
965,135
966,113
967,112
968,106
969,115
970,129
971,108
972,128
973,99
974,145
975,112
976,106
977,109
978,123
979,133
980,119
981,117
982,129
983,151
984,124
985,121
986,120
987,116
988,112
989,116
990,128
991,101
992,101
993,118
994,120
995,132
996,103
997,108
998,120
999,106
1000,112
1001,112
1002,126
1003,105
1004,129
1005,123
1006,107
1007,127
1008,116
1009,112
1010,125
1011,114
1012,107
1013,132
1014,121
1015,121
1016,128
1017,129
1018,96
1019,125
1020,113
1021,104
1022,122
1023,126
1024,119
1025,108
1026,114
1027,141
1028,129
1029,115
1030,118
1031,110
1032,119
1033,102
1034,119
1035,108
1036,115
1037,118
1038,137
1039,115
1040,112
1041,116
1042,106
1043,116
1044,114
1045,120
1046,109
1047,111
1048,119
1049,138
1050,137
1051,119
1052,120
1053,133
1054,105
1055,117
1056,102
1057,128
1058,130
1059,120
1060,133
1061,111
1062,119
1063,122
1064,120
1065,116
1066,106
1067,121
1068,117
1069,124
1070,109
1071,113
1072,126
1073,136
1074,121
1075,104
1076,118
1077,127
1078,123
1079,117
1080,122
1081,115
1082,112
1083,115
1084,131
1085,132
1086,123
1087,124
1088,95
1089,119
1090,136
1091,113
1092,115
1093,119
1094,116
1095,106
1096,126
1097,116
1098,142
1099,121
1100,131
1101,107
1102,96
1103,107
1104,120
1105,110
1106,111
1107,117
1108,120
1109,142
1110,117
1111,139
1112,130
1113,136
1114,114
1115,129
1116,120
1117,108
1118,124
1119,98
1120,101
1121,113
1122,105
1123,111
1124,121
1125,93
1126,113
1127,117
1128,127
1129,97
1130,113
1131,117
1132,117
1133,100
1134,102
1135,128
1136,132
1137,112
1138,115
1139,121
1140,118
1141,120
1142,126
1143,124
1144,112
1145,112
1146,118
1147,116
1148,129
1149,104
1150,127
1151,119
1152,112
1153,106
1154,108
1155,134
1156,139
1157,109
1158,105
1159,136
1160,137
1161,149
1162,111
1163,132
1164,140
1165,115
1166,146
1167,112
1168,128
1169,133
1170,113
1171,139
1172,119
1173,112
1174,122
1175,120
1176,106
1177,127
1178,124
1179,117
1180,120
1181,107
1182,108
1183,107
1184,135
1185,127
1186,120
1187,132
1188,110
1189,116
1190,115
1191,131
1192,127
1193,117
1194,115
1195,117
1196,99
1197,103
1198,137
1199,129
1200,125
1201,101
1202,127
1203,109
1204,100
1205,114
1206,114
1207,113
1208,149
1209,127
1210,119
1211,115
1212,116
1213,127
1214,112
1215,121
1216,111
1217,115
1218,134
1219,116
1220,121
1221,104
1222,123
1223,123
1224,113
1225,116
1226,128
1227,131
1228,104
1229,141
1230,123
1231,112
1232,109
1233,103
1234,126
1235,119
1236,118
1237,122
1238,134
1239,127
1240,120
1241,124
1242,115
1243,128
1244,124
1245,133
1246,138
1247,110
1248,117
1249,114
1250,139
1251,100
1252,107
1253,139
1254,132
1255,127
1256,138
1257,131
1258,124
1259,114
1260,101
1261,113
1262,112
1263,135
1264,110
1265,121
1266,126
1267,123
1268,109
1269,125
1270,137
1271,114
1272,122
1273,124
1274,148
1275,119
1276,119
1277,118
1278,129
1279,111
1280,123
1281,120
1282,130
1283,127
1284,125
1285,138
1286,101
1287,111
1288,122
1289,121
1290,120
1291,116
1292,133
1293,130
1294,120
1295,120
1296,105
1297,125
1298,113
1299,118
1300,130
1301,134
1302,129
1303,118
1304,108
1305,110
1306,108
1307,138
1308,123
1309,122
1310,130
1311,116
1312,123
1313,128
1314,127
1315,127
1316,113
1317,121
1318,105
1319,119
1320,107
1321,126
1322,120
1323,126
1324,114
1325,135
1326,130
1327,119
1328,110
1329,138
1330,126
1331,124
1332,109
1333,115
1334,136
1335,143
1336,118
1337,124
1338,126
1339,94
1340,123
1341,119
1342,99
1343,126
1344,114
1345,127
1346,128
1347,123
1348,140
1349,122
1350,121
1351,120
1352,133
1353,114
1354,133
1355,121
1356,102
1357,114
1358,111
1359,110
1360,129
1361,134
1362,124
1363,128
1364,124
1365,114
1366,112
1367,143
1368,129
1369,114
1370,121
1371,88
1372,118
1373,122
1374,114
1375,115
1376,133
1377,128
1378,103
1379,109
1380,116
1381,118
1382,104
1383,109
1384,140
1385,112
1386,111
1387,116
1388,113
1389,131
1390,122
1391,115
1392,123
1393,121
1394,115
1395,133
1396,94
1397,115
1398,110
1399,117
1400,120
1401,111
1402,137
1403,125
1404,126
1405,124
1406,128
1407,105
1408,124
1409,122
1410,108
1411,119
1412,127
1413,130
1414,138
1415,120
1416,132
1417,113
1418,128
1419,111
1420,121
1421,136
1422,106
1423,118
1424,120
1425,113
1426,122
1427,139
1428,128
1429,113
1430,115
1431,127
1432,128
1433,115
1434,118
1435,114
1436,131
1437,146
1438,104
1439,126
1440,119
1441,107
1442,142
1443,117
1444,136
1445,112
1446,141
1447,125
1448,138
1449,118
1450,118
1451,112
1452,135
1453,132
1454,110
1455,111
1456,119
1457,120
1458,123
1459,126
1460,115
1461,118
1462,114
1463,113
1464,111
1465,133
1466,104
1467,103
1468,103
1469,110
1470,139
1471,113
1472,113
1473,122
1474,107
1475,112
1476,103
1477,104
1478,124
1479,122
1480,130
1481,124
1482,116
1483,108
1484,114
1485,105
1486,134
1487,114
1488,113
1489,123
1490,114
1491,119
1492,116
1493,100
1494,131
1495,122
1496,118
1497,115
1498,111
1499,119
1500,121
1501,120
1502,113
1503,121
1504,113
1505,113
1506,114
1507,106
1508,107
1509,110
1510,114
1511,112
1512,120
1513,125
1514,112
1515,109
1516,139
1517,113
1518,123
1519,93
1520,114
1521,117
1522,121
1523,120
1524,116
1525,120
1526,99
1527,113
1528,116
1529,122
1530,101
1531,122
1532,126
1533,126
1534,122
1535,128
1536,111
1537,109
1538,127
1539,129
1540,110
1541,119
1542,128
1543,126
1544,110
1545,128
1546,111
1547,107
1548,130
1549,126
1550,106
1551,127
1552,115
1553,114
1554,117
1555,126
1556,132
1557,115
1558,111
1559,129
1560,121
1561,112
1562,118
1563,132
1564,127
1565,119
1566,94
1567,103
1568,130
1569,115
1570,123
1571,143
1572,130
1573,116
1574,136
1575,110
1576,93
1577,100
1578,131
1579,129
1580,126
1581,125
1582,110
1583,109
1584,124
1585,137
1586,106
1587,118
1588,123
1589,132
1590,127
1591,125
1592,116
1593,111
1594,113
1595,103
1596,104
1597,124
1598,121
1599,124
1600,130
1601,137
1602,111
1603,108
1604,119
1605,110
1606,108
1607,116
1608,121
1609,141
1610,117
1611,126
1612,127
1613,133
1614,132
1615,109
1616,107
1617,118
1618,127
1619,119
1620,125
1621,110
1622,121
1623,159
1624,99
1625,131
1626,130
1627,139
1628,121
1629,128
1630,119
1631,120
1632,120
1633,99
1634,113
1635,116
1636,122
1637,129
1638,113
1639,122
1640,130
1641,119
1642,124
1643,105
1644,127
1645,124
1646,118
1647,117
1648,132
1649,123
1650,125
1651,122
1652,128
1653,117
1654,110
1655,124
1656,124
1657,122
1658,125
1659,127
1660,129
1661,117
1662,123
1663,120
1664,140
1665,122
1666,117
1667,112
1668,120
1669,109
1670,119
1671,142
1672,107
1673,121
1674,137
1675,113
1676,125
1677,117
1678,114
1679,117
1680,107
1681,112
1682,121
1683,126
1684,117
1685,119
1686,118
1687,124
1688,127
1689,122
1690,132
1691,114
1692,129
1693,125
1694,114
1695,109
1696,133
1697,109
1698,112
1699,127
1700,120
1701,115
1702,131
1703,114
1704,113
1705,117
1706,136
1707,130
1708,140
1709,103
1710,114
1711,114
1712,117
1713,133
1714,114
1715,117
1716,132
1717,134
1718,118
1719,116
1720,123
1721,137
1722,98
1723,121
1724,125
1725,120
1726,121
1727,128
1728,141
1729,114
1730,132
1731,133
1732,138
1733,121
1734,123
1735,131
1736,105
1737,127
1738,113
1739,126
1740,110
1741,112
1742,134
1743,116
1744,133
1745,105
1746,122
1747,110
1748,93
1749,136
1750,117
1751,116
1752,118
1753,130
1754,120
1755,124
1756,111
1757,129
1758,116
1759,101
1760,132
1761,110
1762,123
1763,125
1764,118
1765,126
1766,120
1767,116
1768,105
1769,110
1770,134
1771,126
1772,105
1773,124
1774,129
1775,114
1776,108
1777,112
1778,127
1779,113
1780,130
1781,129
1782,117
1783,119
1784,110
1785,130
1786,117
1787,120
1788,120
1789,134
1790,113
1791,127
1792,130
1793,100
1794,117
1795,114
1796,107
1797,115
1798,134
1799,123
1800,113
1801,129
1802,98
1803,117
1804,112
1805,88
1806,115
1807,107
1808,123
1809,120
1810,120
1811,133
1812,109
1813,138
1814,130
1815,108
1816,116
1817,102
1818,114
1819,126
1820,140
1821,107
1822,106
1823,141
1824,116
1825,108
1826,114
1827,125
1828,116
1829,119
1830,113
1831,115
1832,126
1833,102
1834,125
1835,113
1836,108
1837,112
1838,115
1839,123
1840,120
1841,118
1842,118
1843,117
1844,114
1845,129
1846,113
1847,124
1848,123
1849,100
1850,126
1851,116
1852,128
1853,126
1854,107
1855,114
1856,142
1857,160
1858,106
1859,112
1860,113
1861,130
1862,130
1863,124
1864,121
1865,131
1866,112
1867,142
1868,111
1869,125
1870,138
1871,121
1872,131
1873,119
1874,122
1875,118
1876,121
1877,117
1878,118
1879,101
1880,138
1881,113
1882,126
1883,145
1884,129
1885,116
1886,110
1887,114
1888,113
1889,131
1890,108
1891,117
1892,126
1893,117
1894,149
1895,110
1896,113
1897,108
1898,98
1899,107
1900,117
1901,147
1902,145
1903,122
1904,114
1905,119
1906,109
1907,135
1908,129
1909,121
1910,108
1911,109
1912,117
1913,116
1914,115
1915,123
1916,128
1917,120
1918,117
1919,132
1920,105
1921,118
1922,114
1923,131
1924,119
1925,122
1926,133
1927,147
1928,108
1929,123
1930,132
1931,126
1932,125
1933,134
1934,126
1935,122
1936,131
1937,120
1938,126
1939,136
1940,108
1941,136
1942,118
1943,133
1944,120
1945,123
1946,124
1947,114
1948,131
1949,109
1950,126
1951,149
1952,110
1953,114
1954,101
1955,112
1956,124
1957,112
1958,130
1959,106
1960,112
1961,121
1962,113
1963,104
1964,118
1965,113
1966,98
1967,114
1968,105
1969,119
1970,105
1971,133
1972,134
1973,125
1974,127
1975,117
1976,125
1977,126
1978,118
1979,117
1980,111
1981,130
1982,116
1983,105
1984,90
1985,125
1986,127
1987,113
1988,114
1989,121
1990,122
1991,107
1992,124
1993,106
1994,130
1995,130
1996,114
1997,114
1998,123
1999,149
2000,106
2001,118
2002,120
2003,122
2004,128
2005,130
2006,98
2007,120
2008,119
2009,128
2010,128
2011,114
2012,116
2013,132
2014,116
2015,122
2016,134
2017,133
2018,114
2019,124
2020,119
2021,114
2022,127
2023,124
2024,118
2025,125
2026,141
2027,100
2028,120
2029,124
2030,114
2031,135
2032,111
2033,129
2034,143
2035,114
2036,131
2037,107
2038,110
2039,128
2040,133
2041,131
2042,124
2043,111
2044,110
2045,115
2046,96
2047,113
2048,126
2049,123
2050,136
2051,128
2052,118
2053,113
2054,137
2055,115
2056,114
2057,124
2058,119
2059,121
2060,138
2061,115
2062,110
2063,94
2064,117
2065,119
2066,107
2067,114
2068,122
2069,117
2070,111
2071,125
2072,130
2073,114
2074,122
2075,129
2076,110
2077,131
2078,134
2079,115
2080,115
2081,118
2082,112
2083,103
2084,96
2085,127
2086,137
2087,114
2088,119
2089,128
2090,102
2091,114
2092,114
2093,112
2094,96
2095,125
2096,127
2097,107
2098,125
2099,116
2100,122
2101,146
2102,106
2103,133
2104,145
2105,96
2106,114
2107,118
2108,131
2109,119
2110,105
2111,143
2112,133
2113,125
2114,102
2115,116
2116,124
2117,149
2118,101
2119,134
2120,123
2121,123
2122,139
2123,131
2124,131
2125,116
2126,115
2127,118
2128,132
2129,126
2130,125
2131,136
2132,124
2133,117
2134,134
2135,126
2136,116
2137,131
2138,128
2139,126
2140,133
2141,115
2142,109
2143,122
2144,121
2145,111
2146,106
2147,127
2148,116
2149,124
2150,98
2151,123
2152,122
2153,101
2154,126
2155,116
2156,106
2157,122
2158,119
2159,153
2160,124
2161,110
2162,103
2163,109
2164,122
2165,124
2166,125
2167,123
2168,136
2169,130
2170,125
2171,125
2172,150
2173,118
2174,131
2175,112
2176,150
2177,117
2178,125
2179,105
2180,109
2181,115
2182,117
2183,120
2184,125
2185,137
2186,118
2187,122
2188,121
2189,108
2190,122
2191,108
2192,115
2193,125
2194,110
2195,127
2196,121
2197,109
2198,130
2199,103
2200,102
2201,123
2202,101
2203,125
2204,137
2205,100
2206,115
2207,104
2208,118
2209,121
2210,122
2211,106
2212,117
2213,105
2214,113
2215,117
2216,97
2217,118
2218,120
2219,124
2220,105
2221,112
2222,123
2223,110
2224,117
2225,110
2226,123
2227,128
2228,116
2229,124
2230,109
2231,120
2232,121
2233,120
2234,109
2235,127
2236,116
2237,120
2238,118
2239,131
2240,115
2241,110
2242,125
2243,130
2244,127
2245,102
2246,124
2247,124
2248,108
2249,135
2250,119
2251,106
2252,104
2253,105
2254,133
2255,95
2256,106
2257,120
2258,105
2259,116
2260,121
2261,101
2262,112
2263,111
2264,125
2265,92
2266,148
2267,105
2268,118
2269,112
2270,104
2271,112
2272,127
2273,117
2274,134
2275,108
2276,124
2277,134
2278,99
2279,119
2280,119
2281,139
2282,133
2283,116
2284,113
2285,126
2286,92
2287,127
2288,111
2289,139
2290,102
2291,113
2292,134
2293,126
2294,113
2295,117
2296,126
2297,129
2298,128
2299,140
2300,130
2301,125
2302,113
2303,109
2304,126
2305,120
2306,117
2307,133
2308,127
2309,126
2310,111
2311,122
2312,118
2313,124
2314,119
2315,103
2316,114
2317,105
2318,105
2319,126
2320,120
2321,129
2322,123
2323,121
2324,116
2325,125
2326,133
2327,132
2328,118
2329,122
2330,129
2331,127
2332,125
2333,101
2334,133
2335,143
2336,132
2337,115
2338,105
2339,105
2340,123
2341,120
2342,108
2343,115
2344,135
2345,132
2346,118
2347,154
2348,138
2349,101
2350,116
2351,141
2352,120
2353,131
2354,97
2355,122
2356,131
2357,121
2358,110
2359,141
2360,115
2361,125
2362,122
2363,143
2364,109
2365,121
2366,109
2367,94
2368,130
2369,120
2370,128
2371,132
2372,118
2373,119
2374,122
2375,101
2376,118
2377,115
2378,127
2379,118
2380,126
2381,120
2382,118
2383,100
2384,115
2385,103
2386,120
2387,128
2388,142
2389,108
2390,110
2391,116
2392,112
2393,113
2394,133
2395,132
2396,119
2397,112
2398,113
2399,125
2400,123
2401,130
2402,110
2403,107
2404,122
2405,118
2406,110
2407,122
2408,114
2409,123
2410,118
2411,105
2412,106
2413,102
2414,97
2415,95
2416,136
2417,112
2418,117
2419,124
2420,123
2421,123
2422,132
2423,119
2424,111
2425,103
2426,119
2427,119
2428,130
2429,121
2430,126
2431,124
2432,131
2433,127
2434,105
2435,132
2436,117
2437,133
2438,117
2439,103
2440,124
2441,114
2442,112
2443,109
2444,127
2445,123
2446,143
2447,114
2448,133
2449,103
2450,115
2451,124
2452,121
2453,134
2454,126
2455,132
2456,125
2457,111
2458,118
2459,120
2460,128
2461,119
2462,110
2463,126
2464,100
2465,111
2466,110
2467,120
2468,113
2469,126
2470,107
2471,94
2472,118
2473,115
2474,97
2475,118
2476,125
2477,127
2478,123
2479,120
2480,113
2481,96
2482,132
2483,122
2484,106
2485,97
2486,111
2487,109
2488,137
2489,117
2490,125
2491,120
2492,111
2493,118
2494,121
2495,123
2496,108
2497,116
2498,119
2499,118
2500,141
2501,110
2502,110
2503,120
2504,116
2505,123
2506,103
2507,118
2508,125
2509,96
2510,135
2511,126
2512,102
2513,125
2514,113
2515,118
2516,128
2517,126
2518,115
2519,108
2520,114
2521,125
2522,127
2523,135
2524,117
2525,124
2526,114
2527,136
2528,127
2529,124
2530,145
2531,89
2532,124
2533,113
2534,119
2535,124
2536,123
2537,133
2538,136
2539,135
2540,129
2541,125
2542,126
2543,103
2544,138
2545,116
2546,125
2547,120
2548,122
2549,121
2550,125
2551,125
2552,135
2553,113
2554,100
2555,121
2556,130
2557,122
2558,114
2559,129
2560,121
2561,115
2562,125
2563,121
2564,127
2565,113
2566,112
2567,128
2568,129
2569,89
2570,125
2571,123
2572,92
2573,122
2574,126
2575,121
2576,109
2577,120
2578,126
2579,107
2580,128
2581,110
2582,131
2583,136
2584,139
2585,129
2586,122
2587,126
2588,106
2589,106
